Player,Team,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
Justise Winslow, MIA,68,24.7,0.496,19.5,10.1,16,4.3,20.5,12.4,11.56,26.6,0.9
Sam Dekker, LAC,73,12.1,0.534,10.7,9.3,14.7,5.6,16,10.8,11.56,13.9,0.5
Emmanuel Mudiay, DEN/NY,64,19.4,0.474,22.8,12.5,25.1,2.4,11.3,6.8,11.51,9.5,0.3
Jarrett Jack, NY,62,25,0.49,37.1,12.2,18.3,1.6,12.1,6.8,11.5,11.6,0.4
Wesley Matthews, DAL,63,33.8,0.541,17.3,8.3,16.9,1.4,9.2,5.2,11.49,31.3,1
Yogi Ferrell, DAL,82,27.8,0.54,19.1,7.4,16.5,1.2,11.3,6.1,11.48,16.3,0.5
Danny Green, SA,70,25.6,0.509,14.2,9.6,16,2.5,13,7.7,11.38,23.6,0.8
Tim Frazier, WSH,59,14.2,0.475,44.5,13.1,14.7,2.4,13.1,7.8,11.32,4,0.1
De'Aaron Fox, SAC,73,27.8,0.478,23.3,12.6,23.5,1.8,10,5.7,11.28,8.4,0.3
Jose Calderon, CLE,57,16,0.643,32.8,11.5,12.1,1.7,8.5,5.2,11.27,3.7,0.1
Andre Iguodala, GS,64,25.4,0.536,33.1,10.5,11.9,3.7,12.6,8.5,11.22,17.4,0.6
Corey Brewer, LAL/OKC,72,16.8,0.534,13.8,10.4,13.8,3.8,10.1,6.9,11.19,12.5,0.4
Tyler Ennis, LAL,54,12.6,0.473,27.6,10,17.6,3,11.8,7.4,11.14,1.5,0
Marquese Chriss, PHX,72,21.2,0.509,11.3,14.5,17.3,5.2,22.7,13.8,11.14,-8.2,-0.3
Cedi Osman, CLE,61,11,0.577,14.7,11.5,14.9,3.2,16.6,10,11.06,5.6,0.2
Cory Joseph, IND,82,27,0.503,26.2,8.8,15,2,11.4,6.7,10.99,-0.2,0
Wilson Chandler, DEN,74,31.6,0.542,17.1,9.9,14.2,4.9,14.2,9.6,10.99,17.2,0.6
Isaiah Taylor, ATL,67,17.4,0.492,27.8,11.3,20.5,2.1,6.9,4.5,10.94,-1,0
Andre Roberson, OKC,39,26.6,0.543,18.1,11.8,8.7,7.8,12.2,9.9,10.9,6.1,0.2
Michael Carter-Williams, CHA,52,16.1,0.446,26.6,11.9,17,4.7,13.3,8.9,10.84,-1.9,-0.1
Royce O'Neale, UTAH,69,16.7,0.54,20.3,11.8,14.3,2.5,20.6,11.7,10.84,5.8,0.2
Marcus Smart, BOS,54,29.9,0.48,26.9,13.4,19.8,3,9.7,6.4,10.83,-4.2,-0.1
Justin Holiday, CHI,72,31.5,0.513,13.9,8.5,17.5,1.4,12.8,6.9,10.81,10.6,0.4
Vince Carter, SAC,58,17.7,0.523,17.1,8.9,14.3,1.9,15.1,8.2,10.8,4.6,0.2
Malcolm Delaney, ATL,54,18.8,0.519,29.4,11.9,17.4,1,10,5.5,10.67,-5,-0.2
Miles Plumlee, ATL,55,16.7,0.574,14.3,20,12.3,9.4,18.3,13.9,10.67,1,0
Dion Waiters, MIA,30,30.6,0.487,18.1,11.2,24.3,1,8.5,4.7,10.59,1.3,0
Jarell Martin, MEM,73,22.8,0.516,10.3,12.2,16.2,6.6,15.8,11.1,10.52,-24.3,-0.8
Doug McDermott, DAL/NY,81,21.8,0.579,11.6,8.3,15.3,2.5,10.1,6.3,10.46,-1,0
Jae Crowder, CLE/UTAH,80,26.1,0.525,10.9,8.1,14.1,3.2,11.5,7.4,10.44,-33.1,-1.1
Mario Chalmers, MEM,66,21.5,0.503,24.1,14.3,19.8,1,12,6.4,10.39,-12.9,-0.4
Shane Larkin, BOS,54,14.4,0.491,26.8,9,15.7,2.1,10.7,6.5,10.36,-7.5,-0.2
Malik Monk, CHA,63,13.5,0.477,15.6,8.4,24.2,1,7.5,4.2,10.32,-2.3,-0.1
Luc Mbah a Moute, HOU,61,25.6,0.595,10.8,13.3,12.1,1.6,11.7,6.7,10.29,-28.2,-0.9
Garrett Temple, SAC,65,24.8,0.536,17.4,11.1,16,1.5,9.6,5.4,10.29,-5.2,-0.2
Thon Maker, MIL,74,16.7,0.499,10.3,9.8,13.6,7.1,14.2,10.6,10.22,-7.1,-0.2
Tyrone Wallace, LAC,30,28.4,0.517,17.8,11.5,16.3,2.7,10.7,6.8,10.18,-4.1,-0.1
Tyler Ulis, PHX,71,23.4,0.465,30.1,12.3,19.3,1.5,6.8,4.1,10.13,-21.6,-0.7
Joe Young, IND,53,10.5,0.521,14.8,9.9,17.3,2.4,10.3,6.4,10.12,-7.3,-0.2
Nick Young, GS,80,17.4,0.562,6.1,6.6,15.9,1.7,7.9,5,10.1,-8.2,-0.3
Tyler Dorsey, ATL,56,17.4,0.494,15,7,19.2,2,12.9,7.4,10.05,-6.5,-0.2
Patrick Patterson, OKC,82,15.5,0.555,15.2,8.8,10.7,2.7,14.6,8.4,10,-28.4,-0.9
Dante Cunningham, NO/BKN,73,21.4,0.539,10.3,7.1,9.2,5.5,14.8,10.3,10,-11.6,-0.4
