Year,Player,Position,PosNum,Salary
2016,Boban Marjanovic,Center,5,"$7,000,000"
2016,Ed Davis,Power Forward,4,"$6,666,667"
2016,Isaiah Thomas,Point Guard,1,"$6,587,132"
2016,Victor Oladipo,Shooting Guard,2,"$6,552,960"
2016,Jodie Meeks,Shooting Guard,2,"$6,540,000"
2016,Jeremy Lamb,Shooting Guard,2,"$6,511,628"
2016,Boris Diaw,Center,5,"$6,500,000"
2016,Aron Baynes,Center,5,"$6,500,000"
2016,Marco Belinelli,Shooting Guard,2,"$6,333,333"
2016,Jae Crowder,Small Forward,3,"$6,286,408"
2016,Tarik Black,Power Forward,4,"$6,191,000"
2016,Lance Thomas,Small Forward,3,"$6,191,000"
2016,Andrew Nicholson,Power Forward,4,"$6,088,993"
2016,Patrick Patterson,Power Forward,4,"$6,050,000"
2016,Andrew Wiggins,Small Forward,3,"$6,006,600"
2016,Patrick Beverley,Point Guard,1,"$6,000,000"
2016,Ramon Sessions,Point Guard,1,"$6,000,000"
2016,Wayne Ellington,Shooting Guard,2,"$6,000,000"
2016,Ishmael Smith,Point Guard,1,"$6,000,000"
2016,Alex Abrines,Shooting Guard,2,"$5,994,764"
2016,Karl-Anthony Towns,Center,5,"$5,960,160"
2016,Ben Simmons,Point Guard,1,"$5,903,160"
2016,Otto Porter Jr.,Small Forward,3,"$5,893,981"
2016,Nikola Mirotic,Power Forward,4,"$5,782,450"
2016,Josh McRoberts,Power Forward,4,"$5,782,450"
2016,Spencer Hawes,Power Forward,4,"$5,782,450"
2016,Shaun Livingston,Point Guard,1,"$5,782,450"
2016,Brandan Wright,Power Forward,4,"$5,709,880"
2016,Wesley Johnson,Small Forward,3,"$5,628,000"
2016,Tyler Johnson,Shooting Guard,2,"$5,628,000"
2016,Tony Allen,Shooting Guard,2,"$5,505,618"
2016,Nick Young,Shooting Guard,2,"$5,443,918"
2016,Jabari Parker,Power Forward,4,"$5,374,320"
2016,D'Angelo Russell,Point Guard,1,"$5,332,800"
2016,Cody Zeller,Center,5,"$5,318,313"
2016,P.J. Tucker,Small Forward,3,"$5,300,000"
2016,Brandon Ingram,Small Forward,3,"$5,281,680"
2016,Kyle Korver,Shooting Guard,2,"$5,239,437"
2016,Darren Collison,Point Guard,1,"$5,229,454"
2016,Langston Galloway,Point Guard,1,"$5,200,000"
2016,C.J. Watson,Point Guard,1,"$5,000,000"
2016,Jonas Jerebko,Power Forward,4,"$5,000,000"
2016,Roy Hibbert,Center,5,"$5,000,000"
2016,Jason Smith,Power Forward,4,"$5,000,000"
2016,Mike Dunleavy,Small Forward,3,"$4,837,500"
2016,Kyle Singler,Small Forward,3,"$4,837,500"
2016,Joel Embiid,Center,5,"$4,826,160"
2016,Alex Len,Center,5,"$4,823,621"
2016,Jahlil Okafor,Center,5,"$4,788,840"
2016,Jaylen Brown,Small Forward,3,"$4,743,000"
2016,Alexis Ajinca,Center,5,"$4,638,203"
2016,Marcus Morris,Power Forward,4,"$4,625,000"
2016,C.J. Miles,Small Forward,3,"$4,583,450"
2016,Jameer Nelson,Point Guard,1,"$4,540,525"
2016,Nerlens Noel,Center,5,"$4,384,490"
2016,Aaron Gordon,Power Forward,4,"$4,351,320"
2016,Kristaps Porzingis,Power Forward,4,"$4,317,720"
2016,Dragan Bender,Power Forward,4,"$4,276,320"
2016,Vince Carter,Shooting Guard,2,"$4,264,057"
2016,Devin Harris,Point Guard,1,"$4,227,996"
2016,Jose Barea,Point Guard,1,"$4,096,950"
2016,Ben McLemore,Shooting Guard,2,"$4,008,882"
2016,Kris Humphries,Power Forward,4,"$4,000,000"
2016,Lance Stephenson,Shooting Guard,2,"$4,000,000"
2016,Leandro Barbosa,Shooting Guard,2,"$4,000,000"
2016,Udonis Haslem,Power Forward,4,"$4,000,000"
2016,James Johnson,Power Forward,4,"$4,000,000"
2016,Jordan Hill,Center,5,"$4,000,000"
2016,Dante Exum,Point Guard,1,"$3,940,320"
2016,Kyle O'Quinn,Center,5,"$3,918,750"
2016,Mario Hezonja,Shooting Guard,2,"$3,909,840"
2016,Kris Dunn,Point Guard,1,"$3,872,520"
2016,Thabo Sefolosha,Small Forward,3,"$3,850,000"
2016,Nemanja Bjelica,Power Forward,4,"$3,800,000"
2016,Nick Collison,Power Forward,4,"$3,750,000"
2016,Kentavious Caldwell-Pope,Shooting Guard,2,"$3,678,319"
2016,Quincy Pondexter,Shooting Guard,2,"$3,617,978"
2016,Marcus Smart,Point Guard,1,"$3,578,880"
2016,Bojan Bogdanovic,Small Forward,3,"$3,573,020"
2016,Willie Cauley-Stein,Center,5,"$3,551,160"
2016,Will Barton,Shooting Guard,2,"$3,533,333"
2016,Paul Pierce,Small Forward,3,"$3,527,920"
2016,Buddy Hield,Shooting Guard,2,"$3,517,200"
2016,LaVoy Allen,Power Forward,4,"$3,500,000"
2016,Brandon Rush,Shooting Guard,2,"$3,500,000"
2016,Mike Miller,Shooting Guard,2,"$3,500,000"
2016,Anthony Morrow,Shooting Guard,2,"$3,488,000"
2016,Trey Burke,Point Guard,1,"$3,386,598"
2016,K.J. McDaniels,Shooting Guard,2,"$3,333,333"
2016,Troy Daniels,Shooting Guard,2,"$3,332,940"
2016,Julius Randle,Power Forward,4,"$3,267,120"
2016,Patrick Mills,Point Guard,1,"$3,245,614"
2016,Emmanuel Mudiay,Point Guard,1,"$3,241,800"
2016,C.J. McCollum,Shooting Guard,2,"$3,219,579"
2016,Jamal Murray,Point Guard,1,"$3,210,840"
2016,Michael Carter-Williams,Point Guard,1,"$3,183,526"
2016,Steven Adams,Center,5,"$3,140,517"
2016,Kelly Olynyk,Center,5,"$3,094,014"
2016,Shabazz Muhammad,Small Forward,3,"$3,046,299"
2016,Justin Hamilton,Center,5,"$3,000,000"
2016,Giannis Antetokounmpo,Small Forward,3,"$2,995,421"
2016,Nik Stauskas,Shooting Guard,2,"$2,993,040"
2016,Dante Cunningham,Power Forward,4,"$2,978,250"
2016,Stanley Johnson,Small Forward,3,"$2,969,880"
2016,Marquese Chriss,Power Forward,4,"$2,941,440"
2016,Nene Hilario,Center,5,"$2,898,000"
2016,James Ennis,Small Forward,3,"$2,898,000"
2016,Dion Waiters,Shooting Guard,2,"$2,898,000"
2016,Dewayne Dedmon,Center,5,"$2,898,000"
2016,Seth Curry,Shooting Guard,2,"$2,898,000"
2016,Mindaugas Kuzminskas,Small Forward,3,"$2,898,000"
2016,Zaza Pachulia,Center,5,"$2,898,000"
2016,Tomas Satoransky,Shooting Guard,2,"$2,870,813"
2016,Noah Vonleh,Power Forward,4,"$2,751,360"
2016,Frank Kaminsky,Power Forward,4,"$2,730,000"
2016,Dennis Schröder,Point Guard,1,"$2,708,582"
2016,Jakob Poeltl,Center,5,"$2,703,960"
2016,Aaron Brooks,Point Guard,1,"$2,700,000"
2016,Elfrid Payton,Point Guard,1,"$2,613,600"
2016,Justise Winslow,Small Forward,3,"$2,593,440"
2016,Thon Maker,Center,5,"$2,568,600"
2016,Malcom Delaney,Shooting Guard,2,"$2,500,000"
2016,Randy Foye,Shooting Guard,2,"$2,500,000"
2016,Richard Jefferson,Small Forward,3,"$2,500,000"
2016,Doug McDermott,Small Forward,3,"$2,483,040"
2016,Myles Turner,Center,5,"$2,463,840"
2016,Domantas Sabonis,Power Forward,4,"$2,440,200"
2016,Shelvin Mack,Point Guard,1,"$2,433,334"
2016,Tony Snell,Shooting Guard,2,"$2,368,327"
2016,Gorgui Dieng,Center,5,"$2,348,783"
2016,Trey Lyles,Power Forward,4,"$2,340,600"
2016,Mason Plumlee,Center,5,"$2,328,530"
2016,Taurean Prince,Small Forward,3,"$2,318,280"
2016,Dario Saric,Power Forward,4,"$2,318,280"
2016,Tim Hardaway Jr.,Shooting Guard,2,"$2,281,605"
2016,Reggie Bullock,Small Forward,3,"$2,255,644"
2016,Zach LaVine,Shooting Guard,2,"$2,240,880"
2016,Devin Booker,Shooting Guard,2,"$2,223,600"
2016,Luc Richard Mbah a Moute,Power Forward,4,"$2,203,000"
2016,Georgios Papagiannis,Center,5,"$2,202,240"
2016,Andre Roberson,Shooting Guard,2,"$2,183,072"
2016,Joe Ingles,Small Forward,3,"$2,150,000"
2016,T.J. Warren,Small Forward,3,"$2,128,920"
2016,Rudy Gobert,Center,5,"$2,121,287"
2016,Cameron Payne,Point Guard,1,"$2,112,480"
2016,Denzel Valentine,Shooting Guard,2,"$2,092,200"
2016,Tim Frazier,Point Guard,1,"$2,090,000"
2016,Adreian Payne,Power Forward,4,"$2,022,240"
2016,Kelly Oubre Jr.,Small Forward,3,"$2,006,640"
2016,Juan Hernangomez,Power Forward,4,"$1,987,440"
2016,Jusuf Nurkic,Center,5,"$1,921,320"
2016,Lucas Nogueira,Center,5,"$1,921,320"
2016,Terry Rozier,Point Guard,1,"$1,906,440"
2016,James Young,Shooting Guard,2,"$1,825,200"
2016,Rashad Vaughn,Shooting Guard,2,"$1,811,040"
2016,Kevin Seraphin,Power Forward,4,"$1,800,000"
2016,Wade Baldwin,Point Guard,1,"$1,793,760"
2016,Quincy Acy,Power Forward,4,"$1,790,092"
2016,Tyler Ennis,Point Guard,1,"$1,733,880"
2016,Sam Dekker,Small Forward,3,"$1,720,560"
2016,Joffrey Lauvergne,Power Forward,4,"$1,709,719"
2016,Henry Ellenson,Power Forward,4,"$1,704,120"
2016,Gary Harris,Shooting Guard,2,"$1,655,880"
2016,Jerian Grant,Point Guard,1,"$1,643,040"
2016,Malik Beasley,Shooting Guard,2,"$1,627,320"
2016,Bruno Caboclo,Small Forward,3,"$1,589,640"
2016,Delon Wright,Point Guard,1,"$1,577,280"
2016,Caris LeVert,Shooting Guard,2,"$1,562,280"
2016,Brandon Bass,Power Forward,4,"$1,551,659"
2016,Raymond Felton,Point Guard,1,"$1,551,659"
2016,Metta World Peace,Small Forward,3,"$1,551,659"
2016,James Jones,Shooting Guard,2,"$1,551,659"
2016,David Lee,Power Forward,4,"$1,551,659"
2016,Jason Terry,Shooting Guard,2,"$1,551,659"
2016,Beno Udrih,Point Guard,1,"$1,551,659"
2016,David West,Power Forward,4,"$1,551,659"
2016,Justin Anderson,Shooting Guard,2,"$1,514,160"
2016,DeAndre' Bembry,Small Forward,3,"$1,499,760"
2016,Bobby Portis,Power Forward,4,"$1,453,680"
2016,Demetrius Jackson,Point Guard,1,"$1,450,000"
2016,Malachi Richardson,Shooting Guard,2,"$1,439,880"
2016,Gerald Green,Shooting Guard,2,"$1,410,598"
2016,Sasha Vujacic,Shooting Guard,2,"$1,410,598"
2016,Rodney Hood,Shooting Guard,2,"$1,406,520"
2016,Marreese Speights,Power Forward,4,"$1,403,611"
2016,Michael Beasley,Small Forward,3,"$1,403,611"
2016,JaVale McGee,Center,5,"$1,403,611"
2016,Rondae Hollis-Jefferson,Small Forward,3,"$1,395,600"
2016,Willy Hernangomez,Center,5,"$1,375,000"
2016,Deyonta Davis,Center,5,"$1,369,229"
2016,Nikola Jokic,Center,5,"$1,358,500"
2016,Shabazz Napier,Point Guard,1,"$1,350,120"
2016,Tyus Jones,Point Guard,1,"$1,339,680"
2016,Timothe Luwawu-Cabarrot,Shooting Guard,2,"$1,326,960"
2016,Alan Anderson,Shooting Guard,2,"$1,315,448"
2016,Ty Lawson,Point Guard,1,"$1,315,448"
2016,Clint Capela,Center,5,"$1,296,240"
2016,Jarell Martin,Power Forward,4,"$1,286,160"
2016,Brice Johnson,Power Forward,4,"$1,273,920"
2016,Luke Babbitt,Small Forward,3,"$1,227,286"
2016,Jordan Mickey,Power Forward,4,"$1,223,653"
2016,Larry Nance Jr.,Power Forward,4,"$1,207,680"
2016,Brandon Jennings,Point Guard,1,"$1,200,000"
2016,Pascal Siakam,Power Forward,4,"$1,196,040"
2016,Kyle Anderson,Small Forward,3,"$1,192,080"
2016,Josh Huestis,Small Forward,3,"$1,191,480"
2016,Chris McCullough,Power Forward,4,"$1,191,480"
2016,Skal Labissiere,Power Forward,4,"$1,188,840"
2016,Kevon Looney,Small Forward,3,"$1,182,840"
2016,Dejounte Murray,Point Guard,1,"$1,180,080"
2016,Damian Jones,Center,5,"$1,171,560"
2016,Isaiah Whitehead,Point Guard,1,"$1,074,145"
2016,Rakeem Christmas,Power Forward,4,"$1,052,342"
2016,Joseph Young,Point Guard,1,"$1,052,342"
2016,Thomas Robinson,Power Forward,4,"$1,050,961"
2016,Brian Roberts,Point Guard,1,"$1,050,961"
2016,Glenn Robinson III,Shooting Guard,2,"$1,050,500"
2016,Montrezl Harrell,Power Forward,4,"$1,045,000"
2016,Ivica Zubac,Center,5,"$1,034,956"
2016,Richaun Holmes,Power Forward,4,"$1,025,831"
2016,Mike Muscala,Power Forward,4,"$1,015,696"
2016,Robert Covington,Small Forward,3,"$1,015,696"
2016,Isaiah Canaan,Point Guard,1,"$1,015,696"
2016,Willie Reed,Center,5,"$1,015,696"
2016,DeAndre Liggins,Shooting Guard,2,"$1,015,696"
2016,Jeff Withey,Center,5,"$1,015,696"
2016,Justin Holiday,Shooting Guard,2,"$1,015,696"
2016,Ian Clark,Shooting Guard,2,"$1,015,696"
2016,Jerami Grant,Small Forward,3,"$980,431"
2016,Damjan Rudez,Small Forward,3,"$980,431"
2016,Joe Harris,Shooting Guard,2,"$980,431"
2016,Sean Kilpatrick,Shooting Guard,2,"$980,431"
2016,JaMychal Green,Power Forward,4,"$980,431"
2016,James McAdoo,Small Forward,3,"$980,431"
2016,Stephen Zimmerman,Center,5,"$950,000"
2016,Andrew Harrison,Point Guard,1,"$945,000"
2016,Malcolm Brogdon,Point Guard,1,"$925,000"
2016,Tyler Ulis,Point Guard,1,"$918,369"
2016,Raul Neto,Point Guard,1,"$877,800"
2016,T.J. McConnell,Point Guard,1,"$874,636"
2016,Alan Williams,Power Forward,4,"$874,636"
2016,Christian Wood,Power Forward,4,"$874,636"
2016,Pat Connaughton,Shooting Guard,2,"$874,636"
2016,Cristiano Felicio,Power Forward,4,"$874,636"
2016,Josh Richardson,Shooting Guard,2,"$874,636"
2016,Jonathon Simmons,Small Forward,3,"$874,636"
2016,Salah Mejri,Center,5,"$874,636"
2016,Norman Powell,Shooting Guard,2,"$874,636"
2016,Darrun Hilliard II,Shooting Guard,2,"$874,636"
2016,Paul Zipser,Small Forward,3,"$750,000"
2016,Spencer Dinwiddie,Point Guard,1,"$726,672"
2016,Bobby Brown,Point Guard,1,"$680,534"
2016,Georges Niang,Small Forward,3,"$650,000"
2016,A.J. Hammons,Center,5,"$650,000"
2016,Michael Gbinije,Shooting Guard,2,"$650,000"
2016,Donatas Motiejunas,Power Forward,4,"$618,212"
2016,Jake Layman,Small Forward,3,"$600,000"
2016,Joel Bolomboy,Power Forward,4,"$600,000"
2016,Patrick McCaw,Shooting Guard,2,"$543,471"
2016,Semaj Christon,Point Guard,1,"$543,471"
2016,Chinanu Onuaku,Center,5,"$543,471"
2016,Kyle Wiltjer,Power Forward,4,"$543,471"
2016,Diamond Stone,Center,5,"$543,471"
2016,Derrick Jones Jr.,Small Forward,3,"$543,471"
2016,Treveon Graham,Shooting Guard,2,"$543,471"
2016,Tim Quarterman,Point Guard,1,"$543,471"
2016,Rodney McGruder,Shooting Guard,2,"$543,471"
2016,Kay Felder,Point Guard,1,"$543,471"
2016,Davis Bertans,Small Forward,3,"$543,471"
2016,Bryn Forbes,Shooting Guard,2,"$543,471"
2016,Nicolas Brussino,Small Forward,3,"$543,471"
2016,Dorian Finney-Smith,Small Forward,3,"$543,471"
2016,Fred VanVleet,Point Guard,1,"$543,471"
2016,Cheick Diallo,Power Forward,4,"$543,471"
2016,Sheldon McClellan,Shooting Guard,2,"$543,471"
2016,Daniel Ochefu,Small Forward,3,"$543,471"
2016,Ron Baker,Shooting Guard,2,"$543,471"
2016,Maurice N'dour,Power Forward,4,"$543,471"
2016,Marshall Plumlee,Power Forward,4,"$543,471"
2016,Joel Anthony,Center,5,"$497,858"
2016,Ronnie Price,Point Guard,1,"$438,115"
2016,Deron Williams,Point Guard,1,"$410,733"
2016,Jose Calderon,Point Guard,1,"$392,478"
2016,Matt Barnes,Small Forward,3,"$383,351"
2016,Norris Cole,Point Guard,1,"$288,131"
2016,Ryan Kelly,Power Forward,4,"$286,785"
2016,Derrick Williams,Power Forward,4,"$268,029"
2016,Isaiah Taylor,Point Guard,1,"$255,000"
2016,Okaro White,Power Forward,4,"$210,995"
2016,Yogi Ferrell,Point Guard,1,"$207,798"
2016,Omri Casspi,Small Forward,3,"$185,710"
2016,Jordan Crawford,Shooting Guard,2,"$173,099"
2016,Johnny O'Bryant,Power Forward,4,"$161,483"
2016,Patricio Garino,Small Forward,3,"$150,000"
2016,Chasson Randle,Point Guard,1,"$143,860"
2016,Briante Weber,Point Guard,1,"$128,623"
