Year,Player,Position,PosNum,Salary
2016,LeBron James,Small Forward,3,"$30,963,450"
2016,James Harden,Shooting Guard,2,"$26,540,100"
2016,Al Horford,Center,5,"$26,540,100"
2016,Mike Conley,Point Guard,1,"$26,540,100"
2016,DeMar DeRozan,Shooting Guard,2,"$26,540,100"
2016,Kevin Durant,Small Forward,3,"$26,540,100"
2016,Russell Westbrook,Point Guard,1,"$26,540,100"
2016,Dirk Nowitzki,Power Forward,4,"$25,000,000"
2016,Carmelo Anthony,Small Forward,3,"$24,559,380"
2016,Damian Lillard,Point Guard,1,"$24,328,425"
2016,Chris Bosh,Power Forward,4,"$23,741,060"
2016,Dwyane Wade,Shooting Guard,2,"$23,200,000"
2016,Dwight Howard,Center,5,"$23,180,275"
2016,Chris Paul,Point Guard,1,"$22,868,828"
2016,Chandler Parsons,Small Forward,3,"$22,116,750"
2016,Hassan Whiteside,Center,5,"$22,116,750"
2016,Harrison Barnes,Small Forward,3,"$22,116,750"
2016,Anthony Davis,Center,5,"$22,116,750"
2016,Bradley Beal,Shooting Guard,2,"$22,116,750"
2016,Andre Drummond,Center,5,"$22,116,750"
2016,Derrick Rose,Point Guard,1,"$21,323,252"
2016,Brook Lopez,Center,5,"$21,165,675"
2016,DeAndre Jordan,Center,5,"$21,165,675"
2016,Marc Gasol,Center,5,"$21,165,675"
2016,Kevin Love,Center,5,"$21,165,675"
2016,Nicolas Batum,Shooting Guard,2,"$20,869,565"
2016,LaMarcus Aldridge,Power Forward,4,"$20,575,005"
2016,Blake Griffin,Power Forward,4,"$20,140,838"
2016,Paul Millsap,Power Forward,4,"$20,072,033"
2016,Ryan Anderson,Power Forward,4,"$18,735,363"
2016,Allen Crabbe,Shooting Guard,2,"$18,500,000"
2016,Paul George,Small Forward,3,"$18,314,532"
2016,Luol Deng,Small Forward,3,"$18,000,000"
2016,Kyrie Irving,Point Guard,1,"$17,638,063"
2016,Kawhi Leonard,Small Forward,3,"$17,638,063"
2016,Tobias Harris,Small Forward,3,"$17,200,000"
2016,Greg Monroe,Center,5,"$17,145,838"
2016,Wesley Matthews,Shooting Guard,2,"$17,145,838"
2016,Enes Kanter,Center,5,"$17,145,838"
2016,Bismack Biyombo,Center,5,"$17,000,000"
2016,Evan Fournier,Shooting Guard,2,"$17,000,000"
2016,Joakim Noah,Center,5,"$17,000,000"
2016,DeMarcus Cousins,Center,5,"$16,957,900"
2016,John Wall,Point Guard,1,"$16,957,900"
2016,Klay Thompson,Shooting Guard,2,"$16,663,575"
2016,Jimmy Butler,Shooting Guard,2,"$16,402,209"
2016,Evan Turner,Small Forward,3,"$16,393,443"
2016,Gordon Hayward,Small Forward,3,"$16,073,140"
2016,Timofey Mozgov,Center,5,"$16,000,000"
2016,Ian Mahinmi,Center,5,"$15,944,154"
2016,Goran Dragic,Point Guard,1,"$15,891,725"
2016,Kent Bazemore,Small Forward,3,"$15,730,338"
2016,Pau Gasol,Center,5,"$15,500,000"
2016,Tristan Thompson,Center,5,"$15,330,435"
2016,Draymond Green,Power Forward,4,"$15,330,435"
2016,Khris Middleton,Small Forward,3,"$15,200,000"
2016,Danilo Gallinari,Small Forward,3,"$15,050,000"
2016,Jeff Green,Small Forward,3,"$15,000,000"
2016,Reggie Jackson,Point Guard,1,"$14,956,522"
2016,Tony Parker,Point Guard,1,"$14,445,313"
2016,Jonas Valanciunas,Center,5,"$14,382,022"
2016,DeMarre Carroll,Small Forward,3,"$14,200,000"
2016,Eric Bledsoe,Point Guard,1,"$14,000,000"
2016,Rajon Rondo,Point Guard,1,"$14,000,000"
2016,Manu Ginobili,Shooting Guard,2,"$14,000,000"
2016,Ricky Rubio,Point Guard,1,"$13,400,000"
2016,Rudy Gay,Small Forward,3,"$13,333,333"
2016,Jamal Crawford,Shooting Guard,2,"$13,253,012"
2016,Robin Lopez,Center,5,"$13,219,250"
2016,Michael Kidd-Gilchrist,Small Forward,3,"$13,000,000"
2016,J.R. Smith,Shooting Guard,2,"$12,800,000"
2016,Brandon Knight,Point Guard,1,"$12,606,250"
2016,Jordan Clarkson,Point Guard,1,"$12,500,000"
2016,Miles Plumlee,Center,5,"$12,500,000"
2016,Arron Afflalo,Shooting Guard,2,"$12,500,000"
2016,Tyson Chandler,Center,5,"$12,415,000"
2016,Eric Gordon,Shooting Guard,2,"$12,385,364"
2016,Marvin Williams,Power Forward,4,"$12,250,000"
2016,Serge Ibaka,Power Forward,4,"$12,250,000"
2016,Stephen Curry,Point Guard,1,"$12,112,359"
2016,Thaddeus Young,Power Forward,4,"$12,078,652"
2016,Kenneth Faried,Power Forward,4,"$12,078,652"
2016,Amir Johnson,Power Forward,4,"$12,000,000"
2016,Kemba Walker,Point Guard,1,"$12,000,000"
2016,Kyle Lowry,Point Guard,1,"$12,000,000"
2016,Marcin Gortat,Center,5,"$12,000,000"
2016,Nikola Vucevic,Center,5,"$11,750,000"
2016,Jeremy Lin,Point Guard,1,"$11,483,254"
2016,Jrue Holiday,Point Guard,1,"$11,286,518"
2016,John Henson,Power Forward,4,"$11,267,606"
2016,Courtney Lee,Shooting Guard,2,"$11,242,000"
2016,Solomon Hill,Small Forward,3,"$11,241,218"
2016,Wilson Chandler,Small Forward,3,"$11,233,146"
2016,Andre Iguodala,Small Forward,3,"$11,131,368"
2016,Austin Rivers,Shooting Guard,2,"$11,000,000"
2016,Joe Johnson,Shooting Guard,2,"$11,000,000"
2016,Jon Leuer,Power Forward,4,"$10,991,957"
2016,Derrick Favors,Power Forward,4,"$10,800,000"
2016,Monta Ellis,Shooting Guard,2,"$10,763,500"
2016,Mirza Teletovic,Power Forward,4,"$10,500,000"
2016,Jared Dudley,Small Forward,3,"$10,470,000"
2016,Zach Randolph,Power Forward,4,"$10,361,445"
2016,Al Jefferson,Center,5,"$10,230,179"
2016,Tyreke Evans,Shooting Guard,2,"$10,203,755"
2016,Terrence Ross,Shooting Guard,2,"$10,000,000"
2016,Danny Green,Shooting Guard,2,"$10,000,000"
2016,Alec Burks,Shooting Guard,2,"$9,904,495"
2016,Omer Asik,Center,5,"$9,904,494"
2016,Iman Shumpert,Shooting Guard,2,"$9,662,921"
2016,Matthew Dellavedova,Point Guard,1,"$9,607,500"
2016,Jerryd Bayless,Point Guard,1,"$9,424,084"
2016,Trevor Booker,Power Forward,4,"$9,250,000"
2016,Meyers Leonard,Power Forward,4,"$9,213,483"
2016,Gerald Henderson,Shooting Guard,2,"$9,000,000"
2016,Maurice Harkless,Small Forward,3,"$8,988,764"
2016,Taj Gibson,Power Forward,4,"$8,950,000"
2016,Ersan Ilyasova,Power Forward,4,"$8,400,000"
2016,Dwight Powell,Power Forward,4,"$8,375,000"
2016,Avery Bradley,Shooting Guard,2,"$8,269,663"
2016,Tiago Splitter,Power Forward,4,"$8,250,000"
2016,E'Twaun Moore,Shooting Guard,2,"$8,081,363"
2016,Darrell Arthur,Power Forward,4,"$8,070,175"
2016,Kosta Koufos,Center,5,"$8,046,500"
2016,Tyler Zeller,Center,5,"$8,000,000"
2016,Sergio Rodriguez,Shooting Guard,2,"$8,000,000"
2016,Jeff Teague,Point Guard,1,"$8,000,000"
2016,Garrett Temple,Shooting Guard,2,"$8,000,000"
2016,Anthony Tolliver,Power Forward,4,"$8,000,000"
2016,George Hill,Point Guard,1,"$8,000,000"
2016,Trevor Ariza,Small Forward,3,"$7,806,971"
2016,Channing Frye,Power Forward,4,"$7,806,971"
2016,Al-Farouq Aminu,Power Forward,4,"$7,680,965"
2016,Cole Aldrich,Center,5,"$7,643,979"
2016,Corey Brewer,Shooting Guard,2,"$7,612,172"
2016,Festus Ezeli,Center,5,"$7,400,000"
2016,Markieff Morris,Power Forward,4,"$7,400,000"
2016,J.J. Redick,Shooting Guard,2,"$7,377,500"
2016,Cory Joseph,Point Guard,1,"$7,315,000"
2016,D.J. Augustin,Point Guard,1,"$7,250,000"
2016,Louis Williams,Shooting Guard,2,"$7,000,000"
