TeamName,Playoffs
ATL,0
BOS,1
BRK,0
CHI,0
CHO,0
CLE,1
DAL,0
DEN,0
DET,0
GSW,1
HOU,1
IND,1
LAC,0
LAL,0
MEM,0
MIA,1
MIL,1
MIN,1
NOP,1
NYK,0
OKC,1
ORL,0
PHI,1
PHO,0
POR,1
SAC,0
SAS,1
TOR,1
UTA,1
WAS,1
