Year,Player,Position,PosNum,Salary
2017,Rondae Hollis-Jefferson,Small Forward,3,"$1,471,382"
2017,Caleb Swanigan,Power Forward,4,"$1,465,920"
2017,Willy Hernangomez,Center,5,"$1,435,750"
2017,Kyle Kuzma,Power Forward,4,"$1,423,560"
2017,Tony Bradley,Center,5,"$1,414,920"
2017,Derrick White,Point Guard,1,"$1,404,600"
2017,Josh Hart,Shooting Guard,2,"$1,394,520"
2017,Timothe Luwawu-Cabarrot,Shooting Guard,2,"$1,386,600"
2017,Gerald Green,Shooting Guard,2,"$1,381,404"
2017,Isaiah Whitehead,Point Guard,1,"$1,312,611"
2017,Treveon Graham,Shooting Guard,2,"$1,312,611"
2017,Jake Layman,Small Forward,3,"$1,312,611"
2017,Deyonta Davis,Center,5,"$1,312,611"
2017,Andrew Harrison,Point Guard,1,"$1,312,611"
2017,Wayne Selden,Shooting Guard,2,"$1,312,611"
2017,David Nwaba,Shooting Guard,2,"$1,312,611"
2017,Paul Zipser,Small Forward,3,"$1,312,611"
2017,Skal Labissiere,Power Forward,4,"$1,312,611"
2017,Rodney McGruder,Shooting Guard,2,"$1,312,611"
2017,Davis Bertans,Small Forward,3,"$1,312,611"
2017,Bryn Forbes,Shooting Guard,2,"$1,312,611"
2017,Dejounte Murray,Point Guard,1,"$1,312,611"
2017,Malcolm Brogdon,Point Guard,1,"$1,312,611"
2017,Pascal Siakam,Power Forward,4,"$1,312,611"
2017,Fred VanVleet,Point Guard,1,"$1,312,611"
2017,Yogi Ferrell,Point Guard,1,"$1,312,611"
2017,Dorian Finney-Smith,Small Forward,3,"$1,312,611"
2017,Marcus Georges-Hunt,Shooting Guard,2,"$1,312,611"
2017,Cheick Diallo,Power Forward,4,"$1,312,611"
2017,Damian Jones,Center,5,"$1,312,611"
2017,Patrick McCaw,Shooting Guard,2,"$1,312,611"
2017,Chinanu Onuaku,Center,5,"$1,312,611"
2017,Isaiah Taylor,Point Guard,1,"$1,312,611"
2017,Semi Ojeleye,Power Forward,4,"$1,291,892"
2017,Frank Mason,Point Guard,1,"$1,184,385"
2017,Abdel Nader,Small Forward,3,"$1,167,333"
2017,Damyean Dotson,Shooting Guard,2,"$1,100,000"
2017,Wesley Iwundu,Small Forward,3,"$1,050,000"
2017,Ivan Rabb,Power Forward,4,"$950,000"
2017,Davon Reed,Shooting Guard,2,"$815,615"
2017,Dwayne Bacon,Shooting Guard,2,"$815,615"
2017,Dillon Brooks,Small Forward,3,"$815,615"
2017,Brandon Paul,Shooting Guard,2,"$815,615"
2017,Sterling Brown,Shooting Guard,2,"$815,615"
2017,Alfonzo McKinnie,Power Forward,4,"$815,615"
2017,Maxi Kleber,Power Forward,4,"$815,615"
2017,Royce O'Neale,Small Forward,3,"$815,615"
2017,Frank Jackson,Point Guard,1,"$815,615"
